name,role,death_season,death_episode,execution
Will,Ranger of the Nights Watch,1,1,Beheaded for desertion by Ned Stark
Jon Arryn,Hand to the King before Ned Stark,1,1,Poisoned by Lysa Arryn and Littlefinger
Jory Cassel,Captain of the guards to House Stark,1,5,Stabbed by Jaime Lannister through the eye
Viserys Targaryen,Exiled head of House Targaryen and brother to Daenerys Targaryen,1,6,Khal Drogo pours molten gold on his head at Daenerys command
Benjen Stark,"First Ranger of the Nights Watch, Brother of Ned Stark",1,7,Unknown
Robert Baratheon,Lord of the Seven Kingdoms,1,7,Mortally wounded by a wild boar after drinking wine given to him by Lancel Lannister at Cersei Lannisters command
Syrio Forel,Master sword fighter and Arya Starks instructor in combat,1,8,Presumably killed by Ser Meryn in a sword fight (he was only armed with a training sword)
Eddard Stark,Hand of the King and Lord of the North,1,9,Beheaded by Ser Ilyn Payne at the order of Joffrey Baratheon
Drogo,Chieftain of the Dothraki people and husband of Daenerys Targaryen,1,10,Smothered by Daenerys Targaryen in a mercy killing after a spell by Mirri Maz Duur leaves him in a catatonic state
Rhaego,Son of Khal Drogo and Khaleesi Daenerys Targaryen,1,10,Stillborn because of a blood magic ritual performed by Mirri Maz Duur
Mirri Maz Duur,Enslaved godswife,1,10,Burned alive on Drogos funeral pyre by Daenerys Targaryen
Rakharo,Dothraki bodyguard to Daenerys Targaryen,2,2,Killed and decapitated by a rival khalasar while scouting the Red Waste
Yoren,Recruiter for the Nights Watch,2,3,"Killed by Ser Amory Lorch, loyal to House Lannister, in a fight"
Renly Baratheon,"Master of Laws, Claimant to the Iron Throne, brother of Robert and Stannis Baratheon",2,5,Killed by a shadow with Stannis Baratheons face that was birthed by Melisandre
Rodrik Cassel,"Master-at-Arms at Winterfell, Servant of House Stark",2,6,Decapitated by Theon Greyjoy
Irri,Dothraki handmaiden to Daenerys Targaryen,2,7,Murdered during Xaro Xhoan Daxos theft of the dragons at Qarth
Maester Luwin,Maester of Winterfell,2,10,Osha ends his suffering after he is stabbed with a spear by ironborn raider Dagmer
Qhorin,Nights Watch ranger,2,10,Killed by Jon Snow (at Qhorins own behest) in order to trick the Wildlings into thinking Jon has left the Nights Watch
Pyat Pree,"Warlock from Qarth, Member of the Thirteen",2,10,Burned alive by Daenerys Targaryens dragons
Doreah,Handmaiden to Daenerys Targaryen,2,10,Locked with Xaro Xhoan Daxos inside a Valyrian stone vault by Jorah Mormont at the order of Daenerys Targaryen
Xaro Xhoan Daxos,Merchant in Qarth,2,10,Locked in a Valyrian stone vault by Jorah Mormont on the orders of Daenerys Targaryen
Hoster Tully,"Lord of Riverrun, Father of Edmure Tully, Catelyn Stark and Lysa Arryn",3,3,Illness
Jeor Mormont,Lord Commander of the Nights Watch,3,4,Stabbed to death by Nights Watchman Rast during a mutiny
Craster,A Wildling who lived with his daughter-wives beyond the Wall,3,4,"Killed by Karl Tanner, a Nights Watchman"
Kraznys,Salve-trader in Slavers Bay and one of the Good Masters,3,4,Burned alive by Drogon after he tries to trade the Unsullied for the dragon and insults Daenerys
Beric Dondarrion,Leader of Brotherhood Without Banners,3,5,Killed by the Hound in trial by combat
Ros,Prostitute in Littlefingers brothel and spy for Varys,3,6,Shot by Joffrey Baratheon with a crossbow
Talisa Stark,Wife of Robb Stark,3,9,Stabbed in the stomach while pregnant by Lothar Frey at the Red Wedding
Robb Stark,"King of the North, son of Lord Eddard Stark and Lady Catelyn of Winterfell",3,9,Shot by a Frey crossbowman and then stabbed through the heart by Roose Bolton at the Red Wedding
Catelyn Stark,"Wife of Eddard Stark, Mother of Robb, Sansa, Arya, Bran and Rickon",3,9,Throat slit by Black Walder Rivers at the Red Wedding
Polliver,Man-at-arms for House Lannister,4,1,Stabbed in the throat by Arya Stark
Tansy,Servant of House Bolton,4,2,Hunted down by Ramsay Snow and eaten by his dogs
Joffrey Baratheon,Lord of the Seven Kingdoms,4,2,Poisoned at the Purple Wedding by Olenna Tyrell and Littlefinger
Karl Tanner,"Brother of the Nights Watch, leader of the mutiny at Crasters Keep",4,5,Impaled by Jon Snow during the raid on Crasters Keep
Locke,Man-at-arms for House Bolton,4,5,Neck snapped by Bran Stark while Bran is warging into Hodor
Rast,Ranger in the Nights Watch,4,5,"Ripped apart by Jons direwolf, Ghost, during the raid on Crasters Keep"
Lysa Arryn,"Lady Regent of the Vale, sister to Catelyn Stark, briefly the wife of Littlefinger",4,7,Pushed out of the Moon Door by Littlefinger
Oberyn Martell,Prince of the House Martell,4,8,Skull crushed by the Mountain in a trial by combat
The Mountain,"Knight and Head of House Clegane, loyal to House Lannister",4,8,Poisoned by the spear of Oberyn Martell in a trial by combat
Grenn,Ranger in the Nights Watch,4,9,Killed fighting the giant Mag the Mighty in the Battle of Castle Black
Mag the Mighty,Giant fighting in Mance Rayders army,4,9,Killed by Grenn and five other members of the Nights Watch in the Battle of Castle Black
Pyp,Brother of the Nights Watch,4,9,Shot through the neck with an arrow by Ygritte during the Battle of Castle Black
Styr,Thenn fighting in Mance Rayders army,4,9,Bludgeoned in the head with a hammer by Jon Snow during the Battle of Castle Black
Ygritte,Soldier in Mance Rayders army and Jon Snows lover,4,9,Shot with an arrow by Olly in the Battle of Castle Black
Jojen Reed,"Warg, brother of Meera Reed, traveling companion of Bran Stark",4,10,Mercy killed by Meera after being stabbed multiple times by a wight
Shae,Prostitute and girlfriend of Tyrion Lannister,4,10,Strangled to death by Tyrion Lannister
Tywin Lannister,"Head of House Lannister, Lord of Casterly Rock, father of Cersei, Jaime and Tyrion Lannister",4,10,Shot on the toilet by Tyrion with a crossbow
Mance Rayder,Leader of the Free Folk,5,1,Shot with a mercy arrow by Jon Snow before hes burned alive
Janos Slynt,"Former commander of the City Watch in Kings Landing, exiled to Nights Watch by Tyrion Lannister",5,3,Beheaded for insubordination by Jon Snow
Barristan Selmy,"Former member of the Kingsguard, advisor of Daenerys Targaryen",5,4,Killed fighting the Sons of the Harpy in Meereen
Maester Aemon,Maester at Castle Black,5,7,Dies of old age
Karsi,Chieftainess of the Ice-river clans,5,8,Mauled to death by Wights
Shireen Baratheon,Daughter of Stannis and Selyse Baratheon,5,9,Burned alive as a sacrifice to the Lord of Light by Melisandre at the order of Stannis Baratheon
Hizdahr zo Loraq,"Scion of the House Loraq, former slave trader, husband of Daenerys Targaryen",5,9,Stabbed to death by the Sons of the Harpy
Selyse Baratheon,Wife of Stannis Baratheon,5,10,Hangs herself following the death of her daughter
Stannis Baratheon,"Lord of Dragonstone, brother of Robert and Renly Baratheon, claimant to the Iron Throne",5,10,Executed by Brienne of Tarth
Myranda,Servant of House Bolton and Ramsay Snows lover,5,10,Pushed off a ledge by Theon Grejoy
Meryn Trant,Knight in the Kingsguard,5,10,Blinded and stabbed before having his throat slit by Arya Stark
Myrcella Baratheon,"Daughter of Cersei Lannister and Jaime Lannister, sister to King Tommen Baratheon",5,10,Poisoned with a kiss by Ellaria Sand with the help of the Sand Snakes
Jon Snow,"Commander of the Nights Watch, bastard son of Eddard Stark (or maybe not)",5,10,"Stabbed by Nights Watch mutineers, including Alliser Thorne and Olly"
Areo Hotah,Captain of the Guard for the Martells,6,1,"Stabbed in the back by Tyene, one of the Sand Snakes"
Doran Martell,Prince of Dorne,6,1,Stabbed in the chest by Ellaria Sand
Trystane Martell,"Prince of Dorne, betrothed to Myrcella",6,1,"Impaled through the back of the head by Obara, one of the Sand Snakes"
The Flasher,Man who flashes Cersei Lannister during her walk of atonement,6,2,"Head smashed against a wall by Gregor Clegane, a.k.a The Mountain"
Roose Bolton,"Lord of the Dreadfort, Warden of the North",6,2,"Stabbed in the chest by his own son, Ramsay Bolton"
Walda Bolton,"Wife to Roose Bolton, granddaughter of Walder Frey",6,2,Mauled to death by Ramsay Boltons dogs
Unnamed Bolton Child,Child of Roose and Walda Bolton,6,2,Mauled to death by Ramsay Boltons dogs
Balon Greyjoy,Lord of the Iron Islands,6,2,"Thrown from a bridge by his brother, Euron Greyjoy"
Alliser Thorne,Acting Lord Commander of the Nights Watch,6,3,Hanged for treason by Jon Snow
Olly,Steward of the Nights Watch,6,3,Hanged for treason by Jon Snow
